repository_name,report_available
2024-05-canto-findings,1
2024-07-optimism-findings,1
2024-07-munchables-findings,1
2024-06-vultisig-findings,1
2024-05-olas-findings,1
2024-06-thorchain-findings,1
2024-06-badger-findings,1
2024-07-dittoeth-findings,1
2024-04-gondi-findings,1
2024-06-gondi-findings,1
2024-01-curves-findings,1
2024-05-predy-findings,1
2024-06-krystal-defi-findings,1
2024-03-dittoeth-findings,1
2023-09-maia-findings,1
2024-06-panoptic-findings,1
2024-04-panoptic-findings,1
2023-11-panoptic-findings,1
2024-05-bakerfi-findings,1
2024-05-munchables-findings,1
2024-04-renzo-findings,1
2024-04-dyad-findings,1
2024-05-arbitrum-foundation-findings,1
2023-10-party-findings,1
2024-05-loop-findings,1
2024-06-renzo-mitigation-findings,0
2024-04-lavarage-findings,1
2024-03-zksync-findings,1
2024-05-gondi-mitigation-findings,0
2024-02-tapioca-findings,1
2024-03-revert-lend-findings,1
2024-02-ai-arena-findings,1
2024-03-abracadabra-money-findings,1
2024-02-wise-lending-findings,1
2024-03-acala-findings,1
2024-03-coinbase-findings,1
2024-03-ondo-finance-findings,1
2024-04-revert-mitigation-findings,0
2024-03-taiko-findings,1
2024-03-neobase-findings,1
2024-04-ai-arena-mitigation-findings,0
2023-07-amphora-findings,1
2024-03-gitcoin-findings,1
2024-01-salty-findings,1
2024-02-uniswap-foundation-findings,1
2024-03-phala-network-findings,1
2024-04-coinbase-mitigation-findings,0
2024-02-hydradx-findings,1
2024-02-althea-liquid-infrastructure-findings,1
2022-01-dev-test-repo-findings,1
2024-03-gitcoin-mitigation-findings,0
2024-02-spectra-findings,1
2024-03-pooltogether-findings,1
2024-02-thruster-findings,1
2024-01-decent-findings,1
2024-01-renft-findings,1
2024-03-saltyio-mitigation-findings,0
2024-01-opus-findings,1
2024-02-renft-mitigation-findings,0
2023-10-zksync-findings,1
2023-12-ethereumcreditguild-findings,1
2024-01-init-capital-invitational-findings,1
2023-10-badger-findings,1
2023-10-nextgen-findings,1
2023-12-revolutionprotocol-findings,1
2023-06-lybra-findings,1
2024-01-canto-findings,1
2023-12-autonolas-findings,1
2023-09-asymmetry-findings,1
2023-12-particle-findings,1
2023-12-initcapital-findings,1
2023-11-shellprotocol-findings,1
2023-04-frankencoin-findings,1
2023-08-dopex-findings,1
2023-10-ethena-findings,1
2023-10-opendollar-findings,1
2023-10-wildcat-findings,1
2023-11-canto-findings,1
2023-03-aragon-findings,1
2023-11-kelp-findings,1
2023-09-venus-findings,1
2023-07-lens-findings,1
2023-11-betafinance-findings,1
2023-10-ens-findings,1
2022-12-forgotten-runiverse-findings,1
2022-09-quickswap-findings,1
2023-07-axelar-findings,1
2023-10-brahma-findings,1
2023-10-canto-findings,1
2023-07-reserve-findings,1
2023-07-tapioca-findings,1
2023-09-delegate-findings,1
2023-06-reserve-findings,1
2023-07-arcade-findings,1
2023-10-asymmetry-mitigation-findings,0
2023-08-livepeer-findings,1
2023-08-verwa-findings,1
2023-09-ondo-findings,1
2022-10-juicebox-findings,1
2023-09-centrifuge-findings,1
2023-07-basin-findings,1
2021-07-wildcredit-findings,1
2023-07-moonwell-findings,1
2023-08-shell-findings,1
2023-08-goodentry-findings,1
2023-06-canto-findings,1
2023-09-reserve-mitigation-findings,0
2023-07-pooltogether-findings,1
2023-03-mute-findings,1
2023-08-arbitrum-findings,1
2023-05-maia-findings,1
2023-06-lukso-findings,1
2023-09-goodentry-mitigation-findings,0
2023-08-pooltogether-findings,1
2023-01-popcorn-findings,1
2023-04-ens-findings,1
2023-04-caviar-findings,1
2023-08-pooltogether-mitigation-findings,0
2023-08-reserve-mitigation-findings,0
2023-05-xeth-findings,1
2023-05-venus-findings,1
2023-05-base-findings,1
2023-06-angle-findings,1
2023-05-particle-findings,1
2023-05-ambire-findings,1
2023-03-polynomial-findings,1
2023-07-nounsdao-findings,1
2023-03-asymmetry-findings,1
2023-06-llama-findings,1
2023-05-juicebox-findings,1
2023-07-angle-mitigation-findings,0
2023-06-stader-findings,1
2023-04-eigenlayer-findings,1
2023-05-ajna-findings,1
2023-05-party-findings,1
2023-04-party-findings,1
2023-02-kuma-findings,1
2023-06-ambire-mitigation-findings,0
2023-06-xeth-mitigation-findings,0
2023-03-zksync-findings,1
2022-11-ens-findings,1
2023-05-asymmetry-mitigation-findings,0
2023-01-astaria-findings,1
